"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
2010,"Women","United Kingdom","GBR",0.01736222420618126,0.015581563349207938,0.019315154763139834,0.25791357511858176,0.24957364605852841,0.26625966014474745,0.043908426803567234,0.04100549788187024,0.04683146147763862,0.368086661817941,0.3593482353057171,0.37682332022553383,0.3127291100537288,0.3041591716158617,0.3209402920889879,0.1574313615395312,0.15042651554164665,0.16467163169383756,0.06526776501791645,0.06086501827247211,0.0699153854563297,0.035214448561134135,0.03152610827829339,0.03915043831217622
2011,"Women","United Kingdom","GBR",0.01739227995711771,0.015598198800998475,0.019352380096878053,0.2611397094443549,0.25292623154999216,0.2695739748051072,0.04413768974114062,0.04122524380060785,0.04706094431732839,0.36587363528477806,0.3572834367090267,0.3746546844998357,0.31145668357260875,0.3028942665981348,0.319672550158127,0.15840000100450835,0.15132658938339572,0.16561193936132562,0.06617903863642566,0.06170058949623971,0.07082592341457225,0.03656066980342085,0.03276837301679053,0.04052111311460151
2012,"Women","United Kingdom","GBR",0.017439236619581938,0.01562661191796446,0.019430354803866227,0.264039391127256,0.25582754603355523,0.2726221876408344,0.04440126867469341,0.04151349697834364,0.04733501367419966,0.3638205353414208,0.35523166677791046,0.37259051327579484,0.3102995662370478,0.3017391064740132,0.3186677774493478,0.15915013653315035,0.15210621767729726,0.1663840136087926,0.06700070682300734,0.06258901633295015,0.07170059833738253,0.037888547771098326,0.0339758824781764,0.04200236388946712
2013,"Women","United Kingdom","GBR",0.017494655492724498,0.01565946295445703,0.019533342716583173,0.2667905149305051,0.2582892651816706,0.2753725091055337,0.04465687583898916,0.04175905793512788,0.04766282051197826,0.36180783510365716,0.35322377813336625,0.37058587315958463,0.30925011663412405,0.30060526773436,0.3176531178088523,0.15975140928724216,0.15280916006446313,0.16706362353749377,0.06780400199597045,0.06328150205502983,0.07266397549292263,0.03923510364729248,0.03507985671105111,0.04348939764747177
2014,"Women","United Kingdom","GBR",0.0175554059990933,0.015653856444663085,0.019673306089783998,0.2694613458972837,0.2605978242907317,0.2781248641841472,0.04486646968763627,0.04185948764815605,0.04796147528179428,0.35980392655400634,0.35081005685589356,0.3688883536671462,0.3083128498619804,0.299495551008567,0.3168291888415362,0.16020979671800753,0.1530490744507971,0.16766465729646232,0.06862778358446593,0.06392962053373019,0.07364753159320171,0.04062376559481025,0.03631152473677671,0.04508636850318157
2015,"Women","United Kingdom","GBR",0.017628056086637506,0.015618670048412931,0.019924296295661705,0.27215074477114654,0.2628218655869447,0.2813669148375272,0.04501199930438711,0.04183212845892678,0.04825211817435679,0.3577407336923507,0.3486271359658598,0.3672114378668475,0.30746846414547824,0.298467047051733,0.316262520819076,0.16056780191599462,0.1530557178508678,0.16833703688636525,0.06948472564538603,0.06446024710398793,0.0747970759105577,0.04209821720976588,0.03755123167865009,0.046954021771396424
2016,"Women","United Kingdom","GBR",0.01770777349933691,0.015529045687396874,0.020137247007880575,0.27488816798930993,0.26516739412111456,0.28485160676863164,0.04507981639291132,0.04163842164915904,0.048604487280343056,0.3556350491472199,0.3458657650332342,0.36569411616834346,0.30668919097122194,0.29737765438956165,0.3163394434457862,0.16081270734629807,0.1527174492227659,0.1690014244095096,0.0703980496315432,0.06493299361536051,0.07627521873305815,0.04367741101146867,0.03873383880887326,0.04905548297224493
2017,"Women","United Kingdom","GBR",0.0177991383290327,0.015428735226930494,0.020461047916600857,0.2776218063738473,0.2669191797618856,0.28865335372384876,0.04508371000311269,0.041287649663172804,0.04892443251430034,0.3535576264079437,0.3427694083149651,0.3643816136398005,0.30593771688606364,0.295828505491337,0.3166032182156987,0.16092403548398398,0.15198640368120242,0.1698454790423433,0.07132514031444948,0.06521746408051947,0.07773699092861897,0.04537263057541385,0.03984063896763136,0.05147320403650753
2018,"Women","United Kingdom","GBR",0.017899324453390878,0.015205375593532333,0.020851602349553654,0.28031502553426385,0.26846276449214246,0.2927553040520083,0.0450631621473011,0.040849692674435445,0.04952450365955338,0.35153549045420773,0.33942129025513784,0.36350894112326754,0.30518699541083644,0.2937082831054806,0.31726524877809287,0.16089876627051336,0.15084605415611563,0.1711941081263655,0.07224700285431133,0.06531382812024847,0.07941047157382217,0.04716925640943912,0.04080014993173387,0.054153347403055795
2019,"Women","United Kingdom","GBR",0.018008697032455213,0.014942013936621123,0.021367647647970615,0.2829614429517073,0.26924607062094474,0.297507102555061,0.04503879466965336,0.04022408592234696,0.050144203557203906,0.3495599417302265,0.33536687790796227,0.36360656742332487,0.3044311216159577,0.291180132104909,0.3183970181088802,0.16072927221852543,0.14894035920066143,0.172742559839544,0.07316935782475666,0.06501927212743255,0.08141437826181191,0.0490628129084252,0.04167888025611807,0.05728742075937496
